collection,task_ID,description,dtype,expression,name,scientific_field,support
Densities,densities_0,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.anglit.html#scipy.stats.anglit,float,cos(2*x_0),anglit density,Mathematics,"[[-0.7853981633974483, 0.7853981633974483]]"
Densities,densities_1,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.arcsine.html#scipy.stats.arcsine,float,1/(pi*sqrt(x_0*(1 - x_0))),arcsine density,Mathematics,"[[0.001, 0.999]]"
Densities,densities_2,"c = 1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.genlogistic.html#scipy.stats.genlogistic",float,exp(-x_0)/(1+exp(-x_0))^2,logistic density,Mathematics,"[[-2, 2]]"
Densities,densities_3,"c = 2, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.genpareto.html#scipy.stats.genpareto",float,(1 + 2*x_0)^(-3/2),generalized pareto density,Mathematics,"[[0, 2]]"
Densities,densities_4,"a,b,c = 1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.genexpon.html#scipy.stats.genexpon",float,(1 + 2*(1 - exp(-2*x_0)))*exp(-3*x_0 + 1 - exp(-2*x_0)),generalized exponential density,Mathematics,"[[0, 2]]"
Densities,densities_5,"c = -1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.genextreme.html#scipy.stats.genextreme",float,exp(-(1 + x_0)^(-1))*(1 + x_0)^(-2),generalized  extreme value density,Mathematics,"[[-0.5, 2]]"
Densities,densities_6,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.gibrat.html#scipy.stats.gibrat,float,1/(x_0*sqrt(2*pi))*exp(-0.5*(log(x_0)^2)),gibrat density,Mathematics,"[[3.4452751762614753e-10, 2]]"
Densities,densities_7,"c = 1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.gompertz.html#scipy.stats.gompertz",float,exp(x_0)*exp(1 - exp(x_0)),gompertz density,Mathematics,"[[0, 2]]"
Densities,densities_8,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.gumbel_r.html#scipy.stats.gumbel_r,float,exp(-(x_0 + exp(-x_0))),right-skewed Gumbel density,Mathematics,"[[-1.5, 2]]"
Densities,densities_9,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.halfcauchy.html#scipy.stats.halfcauchy,float,2/(pi*(1 + x_0^2)),Half-Cauchy density,Mathematics,"[[0, 2]]"
Densities,densities_10,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.halflogistic.html#scipy.stats.halflogistic,float,(2*exp(-x_0))/((1 + exp(-x_0))^2),Half-Logistic density,Mathematics,"[[0, 2]]"
Densities,densities_11,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.halfnorm.html#scipy.stats.halfnorm,float,sqrt(2/pi)*exp(-x_0^2/2),Half-Normal density,Mathematics,"[[0, 2]]"
Densities,densities_12,"c = 1.0, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.bradford.html#scipy.stats.bradford",float,1/(log(2)*(1 + x_0)),bradford density,Mathematics,"[[0, 1]]"
Densities,densities_13,"mu = 1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.invgauss.html#scipy.stats.invgauss",float,1/sqrt((2*pi*x_0^3))*exp(-((x_0-1)^2)/(2*x_0)),Inverse Gaussian density,Mathematics,"[[0.2, 2]]"
Densities,densities_14,"c = 1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.invweibull.html#scipy.stats.invweibull",float,exp(-1/x_0)/(x_0^2),Inverse Weibull density,Mathematics,"[[0.2, 2]]"
Densities,densities_15,"c = 1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.lomax.html#scipy.stats.lomax",float,1/((1 +x_0)^2),Lomax density,Mathematics,"[[0.0, 2]]"
Densities,densities_16,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.maxwell.html#scipy.stats.maxwell,float,sqrt(2/pi)*x_0^2*exp(-x_0^2/2),Maxwell density,Physics,"[[0.0, 2]]"
Densities,densities_17,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.moyal.html#scipy.stats.moyal,float,(exp(-(x_0+exp(-x_0))/2))/(sqrt(2*pi)),Moyal density,Physics,"[[0.0, 2]]"
Densities,densities_18,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.norm.html#scipy.stats.norm,float,(exp(-x_0^2/2))/(sqrt(2*pi)),standard normal density,Mathematics,"[[-2, 2]]"
Densities,densities_19,"b = 2, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.pareto.html#scipy.stats.pareto",float,2/(x_0^3),standard normal density,Mathematics,"[[1, 2]]"
Densities,densities_20,"a = 0.5, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.powerlaw.html#scipy.stats.powerlaw",float,1/(2*sqrt(x_0)),power law density,Mathematics,"[[5.213836029582808e-10, 1]]"
Densities,densities_21,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.rayleigh.html#scipy.stats.rayleigh,float,x_0*exp(-x_0^2/2),rayleigh density,Mathematics,"[[0, 2]]"
Densities,densities_22,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.semicircular.html#scipy.stats.semicircular,float,2/pi*sqrt(1 - x_0^2),semicircular density,Mathematics,"[[-1, 1]]"
Densities,densities_23,"c = 2.0, d = 1.0, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.burr.html#scipy.stats.burr",float,2*(x_0^(-3))/((1+x_0^(-2))^2),bradford density,Mathematics,"[[2.235761575875017e-10, 1.8350870916695006]]"
Densities,densities_24,"lambda = 0.1, N = 100, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.boltzmann.html#scipy.stats.boltzmann",int,0.09516690253473127*exp(-0.1*x_0),Boltzmann density,Mathematics,"[[0, 50]]"
Densities,densities_25,"p = 0.2, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.geom.html#scipy.stats.geom",int,0.8^(x_0-1)*0.2,Geometric density,Mathematics,"[[1, 20]]"
Densities,densities_26,"p = 0.9, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.logser.html#scipy.stats.logser",int,-(0.9^x_0)/(x_0*log(0.1)),Log Series density,Mathematics,"[[1, 20]]"
Densities,densities_27,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.cauchy.html#scipy.stats.cauchy,float,1/(pi*(1 + x_0^2)),cauchy density,Mathematics,"[[-1, 1]]"
Densities,densities_28,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.cosine.html#scipy.stats.cosine,float,(1 + cos(x_0))/(2*pi),cosine density,Mathematics,"[[-3.141592653589793, 3.141592653589793]]"
Densities,densities_29,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.expon.html#scipy.stats.expon,float,exp(-x_0),exponential density,Mathematics,"[[0, 2]]"
Densities,densities_30,"a = 2, c = 1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.exponweib.html#scipy.stats.exponweib",float,2*(1 - exp(-x_0))*exp(-x_0),exponential weibull density,Mathematics,"[[0, 1]]"
Densities,densities_31,"c = 1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.fatiguelife.html#scipy.stats.fatiguelife",float,(x_0+1)/(2*sqrt(2*pi*x_0^3))*exp(-(x_0-1)^2/(2*x_0)),fatigue life density,Engineering,"[[8.485969149596428e-10, 0.29538227738363126]]"
Densities,densities_32,"c = 1, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.foldcauchy.html#scipy.stats.foldcauchy",float,1/(pi*(1 + (x_0-1)^2)) + 1/(pi*(1 + (x_0+1)^2)),folded cauchy density,Mathematics,"[[0, 2]]"
PHYBench,phybench_0,"The Verdet constant v as a function of atomic number density N, number of outer electrons Z, electron mass m, refractive index n, angular frequency ω, and resonance frequency ω₀, where x_0 is N, x_1 is Z, constant is m, x_2 is n, x_3 is ω, and x_4 is ω₀. For numerical stability, we use dimensionless parameters here.",float,0.2333976725*(x_0*x_1*x_4**2)/(x_2*x_3**2*(1-x_4**2)**2),pybench_ID_495,Physics,"[[0.001, 1000.0], [0.2, 2], [0.5, 1.5], [0.1, 10], [0.01, 0.99]]"
PHYBench,phybench_1,"The equation describes the maximum force acting on an insect in a rotating reference frame, where x_0 is the mass of the insect, x_1 is the angular velocity, and x_2 is the radius of the circular motion.",float,5*x_0*x_1**2*x_2,pybench_ID_285,Physics,"[[0.001, 100], [0.1, 1000], [0.01, 100]]"
PHYBench,phybench_2,"This equation describes the height h of a liquid surface in a capillary tube, where x_0 is the surface tension, x_1 is the density of the liquid, x_2 is the gravitational acceleration, and x_3 is the contact angle.",float,sqrt(2)*sqrt(x_0*(1 - sin(x_3))/(x_1*x_2)),pybench_ID_281,Physics,"[[0.001, 0.1], [700, 1300], [9.78, 9.82], [0, 3.141592653589793]]"
PHYBench,phybench_3,"This equation describes the position x of a small ball under the influence of gravitational, Coriolis, and other forces, where x_0 is the applied force F, x_1 is the angular velocity Omega, and x_2 is the time t.",float,5*x_0*cos(sqrt(19)*x_1*x_2)/(247*x_1**2) + 4*x_0*cos(sqrt(6)*x_1*x_2)/(39*x_1**2) - 7*x_0/(57*x_1**2),pybench_ID_95,Physics,"[[0.1, 10.0], [0.1, 10.0], [0.0, 10.0]]"
