collection,task_ID,dtype,expression,name,scientific_field,support
Eponymous,eponymous_0,float,sqrt((x_0 + 4*x_1/3)/x_2),Adams–Williamson equation,Physics,"[[0, 95.05825033339732], [63.433589833745664, 63.43558983374566], [4.1390180172129476e-10, 10]]"
Eponymous,eponymous_1,float,sqrt(x_0/x_1),Adams–Williamson equation,Physics,"[[9.239684573003615e-10, 100], [1.3500667250809784e-10, 10]]"
Eponymous,eponymous_2,float,x_0/(x_0**2 + 1),Benjamin–Bona–Mahony equation,Physics,"[[-100, 100]]"
Eponymous,eponymous_3,float,19707*x_1**(463/250)/(2500*((x_2**(463/250)*x_3**(3044/625)))*(x_0**(463/250))),Hazen–Williams equation,Engineering,"[[0.001, 0.04], [0.001, 100], [0.001, 1], [0.001, 10]]"
Eponymous,eponymous_4,float,"x_0 + log(x_1/x_2, 10)",Henderson–Hasselbalch equation,Chemistry,"[[0, 14], [1e-06, 1], [1e-06, 1]]"
Eponymous,eponymous_5,float,x_0/x_1,Hill equation (biochemistry),Biology,"[[0, 100], [9.444676152270404e-10, 100]]"
Eponymous,eponymous_6,float,(-x_0 + x_1)/(1/x_3 - 1*1/x_2),Hugoniot equation,Physics,"[[0, 10], [0, 10], [1.8407984796296806, 2.785561249328673], [1.8387984794051082, 1.840798479405108]]"
Eponymous,eponymous_7,float,1*(1/x_3 + 1/x_2)*(-x_0 + x_1)/2,Hugoniot equation,Physics,"[[0, 10], [0, 10], [4.237408202101278e-10, 3.6106334461630896], [1.5648993212380446e-10, 10]]"
Eponymous,eponymous_8,float,x_4*(-x_0/x_2 + x_1/x_3)/(x_4 - 1) - 1*1*(1/x_3 + 1/x_2)*(-x_0 + x_1)/2,Hugoniot equation,Physics,"[[0, 10], [0, 10], [4.601741210308319e-10, 10], [6.921494488665303e-10, 8.145417595604535], [1.0000000001300038, 2]]"
Eponymous,eponymous_9,float,(x_0 - 1)/(x_1 - 1),Hugoniot equation,Physics,"[[0, 10], [0, 10]]"
Eponymous,eponymous_10,float,x_0*(x_1*Abs(x_2)*Abs(x_3))*(-x_6/(x_4 + x_5) + 1)/(x_4 + x_5),Kapustinskii equation,Chemistry,"[[0, 10], [0, 10], [-10, 10], [-10, 10], [0.01, 10], [0.01, 10], [0, 10]]"
Eponymous,eponymous_11,float,x_0*(x_1*Abs(x_2)*Abs(x_3))/(x_4 + x_5),Kapustinskii equation,Chemistry,"[[0, 10], [0, 10], [-10, 10], [-10, 10], [0.01, 10], [0.01, 10]]"
Eponymous,eponymous_12,float,-x_0*x_1*x_2*x_3*x_4**2*(1 - 1*1/x_7)/(4*pi*x_5*x_6),Kapustinskii equation,Chemistry,"[[0, 10], [0, 10], [-10, 10], [-10, 10], [0.01, 10], [0.01, 10], [0.01, 10], [1, 10]]"
Eponymous,eponymous_13,float,-x_0**3 + x_0,Benjamin–Bona–Mahony equation,Physics,"[[-100, 100]]"
Eponymous,eponymous_14,float,x_0*cos(2*x_1) + x_2*cos(x_1) + x_3,Karplus equation,Chemistry,"[[0, 360], [-10, 10], [-10, 10], [-10, 10]]"
Eponymous,eponymous_15,float,2*x_0**(3/2)/3,Kepler's equation,Physics,"[[0, 10]]"
Eponymous,eponymous_16,float,(150*x_0)*x_4*(1 - x_3)**2/(((x_1**2*x_2**2))*(x_3**3)),Kozeny–Carman equation,Engineering,"[[0.001, 10.0], [0.1, 1.0], [0.001, 0.1], [0.1, 0.6], [0.01, 1.0]]"
Eponymous,eponymous_17,float,x_0*x_2/(x_1*x_3),Kozeny–Carman equation,Engineering,"[[0.001, 10.0], [0.001, 10.0], [0.01, 100.0], [0.1, 10.0]]"
Eponymous,eponymous_18,float,x_0**2*(x_1**3*x_2**2)/((180*(1 - x_1)**2)),Kozeny–Carman equation,Engineering,"[[0.1, 1.0], [0.1, 0.6], [0.001, 0.1]]"
Eponymous,eponymous_19,float,x_0**(1 + 1/x_2)*x_1,Lane–Emden equation,Physics,"[[3.6948178544493615e-10, 0.04443330038779237], [0.34, 0.4], [-0.54, -0.48]]"
Eponymous,eponymous_20,float,x_0**x_2*x_1,Lane–Emden equation,Physics,"[[0, 10], [0, 10], [0, 5]]"
Eponymous,eponymous_21,float,-1*1*x_0**2/6 + 1,Lane–Emden equation,Physics,"[[0, 10]]"
Eponymous,eponymous_22,float,x_0,Laplace's equation,Physics,"[[-10, 10]]"
Eponymous,eponymous_23,float,(x_0*x_1)/x_2,List of equations,Physics,"[[1000, 110000], [0.001, 100], [0.001, 100]]"
Eponymous,eponymous_24,float,x_0**2,Bernoulli differential equation,Mathematics,"[[0, 10]]"
Eponymous,eponymous_25,float,x_0*x_1,List of equations,Physics,"[[0.1, 1000], [0.01, 100]]"
Eponymous,eponymous_26,float,x_0*x_1,List of equations,Physics,"[[0.01, 1000], [0.001, 100]]"
Eponymous,eponymous_27,float,x_0*x_1 + x_2,List of equations,Mathematics,"[[-100, 100], [-100, 100], [-100, 100]]"
Eponymous,eponymous_28,float,x_0*exp(-x_1/x_2),List of equations,Chemistry,"[[0.01, 100], [1000, 100000], [200, 1000]]"
Eponymous,eponymous_29,float,(x_0*x_1)/(x_1 + x_2),List of equations,Biology,"[[0.01, 100], [0.001, 100], [0.001, 100]]"
Eponymous,eponymous_30,float,x_0*(x_1 + x_2*x_3),Lorentz equation,Physics,"[[-1e-06, 1e-06], [-1000000.0, 1000000.0], [-1000000.0, 1000000.0], [-1000000.0, 1000000.0]]"
Eponymous,eponymous_31,float,x_0*(x_1 + x_2*x_3),Lorentz equation,Physics,"[[-1e-06, 1e-06], [-1000000.0, 1000000.0], [-1000000.0, 1000000.0], [-1000000.0, 1000000.0]]"
Eponymous,eponymous_32,float,(4*pi)*x_0*x_1/3,Lorentz–Lorenz equation,Physics,"[[1e+20, 1e+25], [1e-30, 1e-25]]"
Eponymous,eponymous_33,float,x_0*x_1*(x_0),Lyapunov equation,Mathematics,"[[-10, 10], [-10, 10]]"
